id_tiempo,dia_codigo,dia_semana,hora_inicio,hora_fin
1,A,Martes,07:00:00,08:59:00
2,J,Jueves,07:00:00,08:59:00
3,A,Martes,09:00:00,10:59:00
4,J,Jueves,09:00:00,10:59:00
5,M,Miercoles,17:00:00,18:59:00
6,V,Viernes,17:00:00,18:59:00
7,A,Martes,17:00:00,18:59:00
8,J,Jueves,17:00:00,18:59:00
9,M,Miercoles,11:00:00,12:59:00
10,V,Viernes,11:00:00,12:59:00
11,M,Miercoles,15:00:00,16:59:00
12,V,Viernes,15:00:00,16:59:00
13,M,Miercoles,09:00:00,10:59:00
14,V,Viernes,09:00:00,10:59:00
15,A,Martes,13:00:00,14:59:00
16,J,Jueves,13:00:00,14:59:00
17,M,Miercoles,07:00:00,08:59:00
18,V,Viernes,07:00:00,08:59:00
19,L,Lunes,11:00:00,11:59:00
20,L,Lunes,13:00:00,13:59:00
21,M,Miercoles,13:00:00,14:59:00
22,V,Viernes,13:00:00,14:59:00
23,L,Lunes,14:00:00,14:59:00
24,L,Lunes,10:00:00,10:59:00
25,L,Lunes,09:00:00,09:59:00
26,A,Martes,11:00:00,12:59:00
27,J,Jueves,11:00:00,12:59:00
28,L,Lunes,12:00:00,12:59:00
29,L,Lunes,08:00:00,08:59:00
30,L,Lunes,18:00:00,18:59:00
31,A,Martes,15:00:00,16:59:00
32,J,Jueves,15:00:00,16:59:00
33,L,Lunes,16:00:00,16:59:00
34,L,Lunes,17:00:00,17:59:00
35,L,Lunes,07:00:00,07:59:00
36,L,Lunes,15:00:00,15:59:00
37,L,Lunes,19:00:00,19:59:00
38,M,Miercoles,19:00:00,20:59:00
39,V,Viernes,19:00:00,20:59:00
40,A,Martes,19:00:00,20:59:00
41,J,Jueves,19:00:00,20:59:00
42,L,Lunes,20:00:00,20:59:00
43,S,Sábado,10:00:00,10:59:00
44,S,Sábado,14:00:00,14:59:00
45,S,Sábado,13:00:00,14:59:00
46,S,Sábado,15:00:00,15:59:00
47,S,Sábado,12:00:00,12:59:00
